img,x1,y1,x2,y2,id,width,height
00102.ppm,933,314,990,365,1,1360,800
00104.ppm,767,462,808,499,1,1360,800
00104.ppm,695,461,730,492,1,1360,800
00105.ppm,256,438,303,484,1,1360,800
00105.ppm,958,378,1024,440,1,1360,800
00106.ppm,902,369,985,443,1,1360,800
00107.ppm,486,485,540,537,1,1360,800
00107.ppm,490,536,529,576,1,1360,800
00109.ppm,990,484,1020,513,1,1360,800
00110.ppm,929,489,954,513,1,1360,800
00111.ppm,1091,465,1123,497,1,1360,800
00111.ppm,350,503,382,535,1,1360,800
00112.ppm,366,473,399,508,1,1360,800
00112.ppm,1186,475,1225,514,1,1360,800
00113.ppm,351,413,419,480,1,1360,800
00114.ppm,1169,421,1231,484,1,1360,800
00115.ppm,850,218,950,317,1,1360,800
00116.ppm,383,473,400,502,1,1360,800
00117.ppm,99,425,131,466,1,1360,800
00119.ppm,847,472,873,496,1,1360,800
00120.ppm,58,243,164,345,1,1360,800
00121.ppm,91,308,185,416,1,1360,800
00122.ppm,500,496,521,518,1,1360,800
00122.ppm,883,498,904,520,1,1360,800
00123.ppm,519,492,550,524,1,1360,800
00123.ppm,1101,483,1133,516,1,1360,800
00124.ppm,532,481,558,507,1,1360,800
00124.ppm,976,470,1002,496,1,1360,800
00125.ppm,1019,313,1106,401,1,1360,800
00126.ppm,840,374,868,404,1,1360,800
00126.ppm,379,365,411,396,1,1360,800
00127.ppm,138,385,175,423,1,1360,800
00127.ppm,1009,380,1046,417,1,1360,800
00129.ppm,962,379,1008,426,1,1360,800
00129.ppm,866,399,905,439,1,1360,800
00130.ppm,209,426,236,453,1,1360,800
00130.ppm,601,431,626,456,1,1360,800
00130.ppm,318,439,345,467,1,1360,800
00131.ppm,1010,430,1034,455,1,1360,800
00131.ppm,474,389,500,415,1,1360,800
00132.ppm,314,306,393,377,1,1360,800
00134.ppm,1008,299,1073,365,1,1360,800
00135.ppm,718,298,777,356,1,1360,800
00136.ppm,816,401,857,437,1,1360,800
00137.ppm,824,324,892,384,1,1360,800
00138.ppm,157,179,235,268,1,1360,800
00138.ppm,1302,399,1336,432,1,1360,800
00140.ppm,247,472,275,501,1,1360,800
00141.ppm,857,379,894,416,1,1360,800
00142.ppm,816,454,835,473,1,1360,800
00144.ppm,708,445,727,464,1,1360,800
00146.ppm,707,404,732,426,1,1360,800
00146.ppm,711,427,729,445,1,1360,800
00147.ppm,750,419,784,452,1,1360,800
00148.ppm,872,353,943,416,1,1360,800
00149.ppm,1131,274,1221,361,1,1360,800
00150.ppm,824,345,865,386,1,1360,800
00151.ppm,794,372,824,401,1,1360,800
00156.ppm,819,388,848,417,1,1360,800
00157.ppm,262,423,297,460,1,1360,800
00157.ppm,885,392,926,432,1,1360,800
00160.ppm,610,388,653,428,1,1360,800
00162.ppm,244,430,262,448,1,1360,800
00162.ppm,713,433,732,452,1,1360,800
00162.ppm,544,444,562,462,1,1360,800
00164.ppm,874,375,918,416,1,1360,800
00165.ppm,382,412,399,431,1,1360,800
00165.ppm,689,292,745,340,1,1360,800
00166.ppm,814,382,848,416,1,1360,800
00167.ppm,369,446,392,469,1,1360,800
00167.ppm,729,433,750,455,1,1360,800
00168.ppm,693,419,719,442,1,1360,800
00169.ppm,1089,153,1212,276,1,1360,800
00170.ppm,912,322,944,358,1,1360,800
00171.ppm,882,335,932,385,1,1360,800
00171.ppm,883,385,932,433,1,1360,800
00172.ppm,712,471,740,495,1,1360,800
00172.ppm,718,418,737,437,1,1360,800
00173.ppm,1111,279,1161,329,1,1360,800
00174.ppm,718,413,753,444,1,1360,800
00174.ppm,723,443,747,467,1,1360,800
00175.ppm,893,341,944,396,1,1360,800
00176.ppm,850,414,875,440,1,1360,800
00177.ppm,271,416,313,458,1,1360,800
00177.ppm,746,423,785,462,1,1360,800
00177.ppm,1271,402,1308,437,1,1360,800
00178.ppm,728,456,748,476,1,1360,800
00180.ppm,968,384,1004,421,1,1360,800
00181.ppm,793,299,853,359,1,1360,800
00182.ppm,656,412,685,441,1,1360,800
00183.ppm,766,369,806,406,1,1360,800
00184.ppm,790,273,850,334,1,1360,800
00185.ppm,967,150,1076,257,1,1360,800
00186.ppm,603,455,621,474,1,1360,800
00186.ppm,325,428,345,448,1,1360,800
00187.ppm,675,405,709,439,1,1360,800
00187.ppm,161,393,194,428,1,1360,800
00188.ppm,705,379,752,422,1,1360,800
00189.ppm,853,339,917,394,1,1360,800
00191.ppm,693,406,728,439,1,1360,800
00192.ppm,492,414,516,437,1,1360,800
00192.ppm,314,440,334,461,1,1360,800
00193.ppm,727,224,834,331,1,1360,800
00194.ppm,718,306,787,369,1,1360,800
00195.ppm,1040,155,1161,268,1,1360,800
00195.ppm,784,398,820,430,1,1360,800
00196.ppm,726,316,787,370,1,1360,800
00197.ppm,867,278,956,361,1,1360,800
00198.ppm,678,412,702,435,1,1360,800
00199.ppm,826,322,882,374,1,1360,800
00200.ppm,840,287,915,364,1,1360,800
00200.ppm,648,410,670,433,1,1360,800
00200.ppm,257,403,281,428,1,1360,800
00201.ppm,762,352,812,397,1,1360,800
00202.ppm,657,319,702,365,1,1360,800
00202.ppm,56,315,104,363,1,1360,800
00203.ppm,758,375,784,400,1,1360,800
00204.ppm,858,151,946,242,1,1360,800
00205.ppm,1202,332,1326,449,1,1360,800
00206.ppm,55,8,164,103,1,1360,800
00206.ppm,1144,118,1235,196,1,1360,800
00207.ppm,870,313,942,378,1,1360,800
00208.ppm,638,239,732,319,1,1360,800
00209.ppm,1097,210,1184,287,1,1360,800
00211.ppm,667,410,705,445,1,1360,800
00214.ppm,1185,130,1295,236,1,1360,800
00216.ppm,312,442,337,467,1,1360,800
00216.ppm,886,446,911,472,1,1360,800
00217.ppm,971,267,1031,328,1,1360,800
00219.ppm,1080,270,1155,340,1,1360,800
00220.ppm,1127,285,1168,326,1,1360,800
00221.ppm,988,420,1042,470,1,1360,800
00222.ppm,985,354,1022,390,1,1360,800
00223.ppm,816,334,858,374,1,1360,800
00224.ppm,932,188,1024,278,1,1360,800
00224.ppm,923,276,977,341,1,1360,800
00224.ppm,977,263,1042,333,1,1360,800
00225.ppm,856,268,924,334,1,1360,800
00226.ppm,1152,224,1220,290,1,1360,800
00227.ppm,1228,259,1306,329,1,1360,800
00228.ppm,937,295,998,356,1,1360,800
00229.ppm,1282,339,1332,383,1,1360,800
00229.ppm,1273,384,1305,417,1,1360,800
00229.ppm,1305,382,1341,414,1,1360,800
00230.ppm,974,398,1002,426,1,1360,800
00230.ppm,968,426,1007,463,1,1360,800
00231.ppm,1146,362,1183,399,1,1360,800
00232.ppm,868,379,910,419,1,1360,800
00232.ppm,297,420,340,459,1,1360,800
00234.ppm,1051,275,1115,338,1,1360,800
00236.ppm,1081,274,1199,402,1,1360,800
00237.ppm,822,361,854,393,1,1360,800
00237.ppm,290,389,323,422,1,1360,800
00238.ppm,842,400,881,435,1,1360,800
00238.ppm,849,443,877,471,1,1360,800
00239.ppm,788,411,814,436,1,1360,800
00239.ppm,792,439,812,458,1,1360,800
00240.ppm,847,364,879,396,1,1360,800
00241.ppm,838,400,880,442,1,1360,800
00242.ppm,848,388,870,413,1,1360,800
00242.ppm,1195,267,1302,366,1,1360,800
00243.ppm,843,447,867,470,1,1360,800
00244.ppm,491,390,530,429,1,1360,800
00244.ppm,1238,349,1282,394,1,1360,800
00245.ppm,477,442,499,464,1,1360,800
00245.ppm,851,438,874,461,1,1360,800
00246.ppm,311,381,354,425,1,1360,800
00246.ppm,1091,354,1134,396,1,1360,800
00247.ppm,471,453,492,474,1,1360,800
00247.ppm,856,448,877,469,1,1360,800
00248.ppm,204,452,229,479,1,1360,800
00248.ppm,843,429,870,456,1,1360,800
00249.ppm,1212,419,1244,452,1,1360,800
00250.ppm,907,446,932,471,1,1360,800
00252.ppm,915,389,960,434,1,1360,800
00252.ppm,910,326,956,372,1,1360,800
00253.ppm,1186,134,1301,244,1,1360,800
00254.ppm,1172,270,1237,336,1,1360,800
00254.ppm,1264,368,1295,398,1,1360,800
00256.ppm,1105,42,1232,153,1,1360,800
00257.ppm,1237,334,1295,387,1,1360,800
00257.ppm,1079,388,1119,423,1,1360,800
00258.ppm,745,469,777,501,1,1360,800
00258.ppm,346,490,381,522,1,1360,800
00259.ppm,1202,329,1247,374,1,1360,800
00263.ppm,646,417,666,437,1,1360,800
00264.ppm,964,412,988,435,1,1360,800
00264.ppm,965,435,988,458,1,1360,800
00264.ppm,509,466,531,488,1,1360,800
00265.ppm,800,426,831,456,1,1360,800
00265.ppm,783,446,804,464,1,1360,800
00265.ppm,805,458,827,480,1,1360,800
00266.ppm,242,450,293,501,1,1360,800
00268.ppm,891,396,917,422,1,1360,800
00269.ppm,966,430,990,454,1,1360,800
00270.ppm,243,335,293,386,1,1360,800
00270.ppm,1237,279,1291,332,1,1360,800
00271.ppm,259,369,297,408,1,1360,800
00271.ppm,1090,341,1130,381,1,1360,800
00272.ppm,1223,315,1297,385,1,1360,800
00272.ppm,310,398,377,461,1,1360,800
00273.ppm,1080,286,1145,343,1,1360,800
00276.ppm,798,346,845,388,1,1360,800
00277.ppm,1048,399,1071,422,1,1360,800
00278.ppm,915,354,955,390,1,1360,800
00280.ppm,1054,392,1083,422,1,1360,800
00281.ppm,982,363,1016,393,1,1360,800
00281.ppm,984,392,1017,425,1,1360,800
00282.ppm,869,414,901,444,1,1360,800
00283.ppm,1177,114,1284,219,1,1360,800
00284.ppm,993,347,1051,404,1,1360,800
00285.ppm,1091,304,1146,359,1,1360,800
00286.ppm,1015,360,1044,389,1,1360,800
00287.ppm,1113,370,1154,411,1,1360,800
00288.ppm,413,456,436,479,1,1360,800
00288.ppm,983,438,1006,462,1,1360,800
00289.ppm,285,401,326,444,6,1360,800
00289.ppm,1282,379,1326,424,6,1360,800
00290.ppm,1294,391,1326,428,1,1360,800
00291.ppm,1129,384,1165,422,1,1360,800
00292.ppm,982,422,1011,451,1,1360,800
00292.ppm,315,447,345,476,1,1360,800
00293.ppm,28,410,70,456,1,1360,800
00293.ppm,1143,365,1193,415,1,1360,800
00294.ppm,101,405,153,453,1,1360,800
00294.ppm,1173,326,1231,381,1,1360,800
00295.ppm,1227,364,1272,411,6,1360,800
00295.ppm,98,417,142,463,6,1360,800
00296.ppm,460,409,492,442,1,1360,800
00296.ppm,1237,385,1269,417,1,1360,800
00297.ppm,1015,444,1042,468,1,1360,800
00297.ppm,593,443,620,466,1,1360,800
00298.ppm,1220,168,1327,264,1,1360,800
00298.ppm,1238,256,1314,331,1,1360,800
00298.ppm,69,445,107,475,1,1360,800
00300.ppm,680,430,710,458,1,1360,800
00300.ppm,779,420,801,443,1,1360,800
00301.ppm,1062,260,1131,324,1,1360,800
00301.ppm,1075,318,1125,368,1,1360,800
00303.ppm,1186,385,1215,414,1,1360,800
00305.ppm,765,368,827,422,1,1360,800
00305.ppm,549,348,597,393,1,1360,800
00306.ppm,1047,420,1084,455,1,1360,800
00306.ppm,353,471,389,505,1,1360,800
00307.ppm,457,474,488,505,1,1360,800
00307.ppm,795,454,827,487,1,1360,800
00307.ppm,892,417,934,457,1,1360,800
00309.ppm,180,388,220,431,1,1360,800
00309.ppm,1159,353,1203,398,1,1360,800
00311.ppm,616,424,650,458,1,1360,800
00311.ppm,1295,391,1329,425,1,1360,800
00312.ppm,122,267,225,379,1,1360,800
00312.ppm,1226,411,1249,433,1,1360,800
00312.ppm,677,434,699,453,1,1360,800
00313.ppm,369,414,424,470,6,1360,800
00314.ppm,1213,398,1247,434,1,1360,800
00314.ppm,396,451,429,485,1,1360,800
00315.ppm,1267,373,1310,419,6,1360,800
00315.ppm,172,414,213,462,6,1360,800
00316.ppm,693,413,719,437,1,1360,800
00316.ppm,696,436,719,458,1,1360,800
00316.ppm,994,395,1022,420,1,1360,800
00316.ppm,995,421,1020,445,1,1360,800
00318.ppm,631,451,657,477,1,1360,800
00319.ppm,1201,403,1248,450,1,1360,800
00319.ppm,569,436,612,481,1,1360,800
00322.ppm,1166,327,1209,370,1,1360,800
00322.ppm,338,406,381,449,1,1360,800
00323.ppm,398,437,425,464,1,1360,800
00323.ppm,854,438,881,466,1,1360,800
00330.ppm,1050,313,1116,381,1,1360,800
00333.ppm,116,414,176,477,1,1360,800
00333.ppm,753,387,808,445,1,1360,800
00334.ppm,323,452,369,498,1,1360,800
00334.ppm,760,435,797,472,1,1360,800
00338.ppm,504,397,538,427,1,1360,800
00338.ppm,505,425,536,453,1,1360,800
00338.ppm,998,397,1031,426,1,1360,800
00338.ppm,1000,426,1029,453,1,1360,800
00339.ppm,627,442,660,476,1,1360,800
00340.ppm,827,543,851,567,1,1360,800
00340.ppm,827,543,851,567,1,1360,800
00341.ppm,923,465,997,533,1,1360,800
00343.ppm,802,531,829,558,1,1360,800
00343.ppm,483,507,512,536,1,1360,800
00346.ppm,291,541,321,571,1,1360,800
00346.ppm,883,542,911,570,1,1360,800
00347.ppm,913,545,970,597,1,1360,800
00348.ppm,952,524,990,562,1,1360,800
00349.ppm,53,455,114,514,1,1360,800
00349.ppm,1244,465,1312,534,1,1360,800
00350.ppm,475,543,508,576,1,1360,800
00350.ppm,1092,542,1125,573,1,1360,800
00351.ppm,511,533,538,560,1,1360,800
00352.ppm,969,549,996,576,6,1360,800
00352.ppm,528,553,555,580,6,1360,800
00353.ppm,836,554,860,578,1,1360,800
00353.ppm,456,559,477,581,1,1360,800
00355.ppm,474,537,507,570,1,1360,800
00356.ppm,946,520,1004,573,1,1360,800
00356.ppm,249,499,310,555,1,1360,800
00357.ppm,1095,524,1130,560,1,1360,800
00357.ppm,463,528,500,565,1,1360,800
00358.ppm,316,490,374,549,1,1360,800
00359.ppm,879,559,903,583,1,1360,800
00359.ppm,467,560,492,585,1,1360,800
00360.ppm,1032,484,1076,528,1,1360,800
00360.ppm,253,502,296,545,1,1360,800
00362.ppm,252,470,370,574,1,1360,800
00363.ppm,407,483,450,526,1,1360,800
00363.ppm,409,525,453,568,1,1360,800
00366.ppm,517,530,540,553,1,1360,800
00366.ppm,518,553,541,576,1,1360,800
00366.ppm,988,550,1014,573,1,1360,800
00366.ppm,988,574,1015,597,1,1360,800
00367.ppm,1028,501,1068,541,1,1360,800
00367.ppm,1028,542,1071,583,1,1360,800
00367.ppm,230,488,274,530,1,1360,800
00367.ppm,235,533,276,573,1,1360,800
00368.ppm,382,460,431,510,1,1360,800
00368.ppm,378,509,431,561,1,1360,800
00369.ppm,521,544,542,564,1,1360,800
00369.ppm,520,564,543,585,1,1360,800
00369.ppm,874,532,895,551,1,1360,800
00369.ppm,875,550,896,571,1,1360,800
00370.ppm,880,536,904,559,1,1360,800
00370.ppm,880,558,907,584,1,1360,800
00370.ppm,440,531,467,554,1,1360,800
00370.ppm,442,553,468,578,1,1360,800
00371.ppm,316,521,372,577,1,1360,800
00372.ppm,974,486,1017,529,1,1360,800
00373.ppm,164,517,195,548,1,1360,800
00373.ppm,819,511,853,545,1,1360,800
00374.ppm,999,527,1031,560,1,1360,800
00375.ppm,1229,521,1255,545,1,1360,800
00376.ppm,266,487,309,530,6,1360,800
00376.ppm,989,510,1031,552,6,1360,800
00377.ppm,1133,504,1172,543,1,1360,800
00377.ppm,239,490,278,531,1,1360,800
00377.ppm,1133,543,1172,582,1,1360,800
00377.ppm,236,532,277,573,1,1360,800
00378.ppm,23,362,142,480,1,1360,800
00378.ppm,22,242,145,362,1,1360,800
00379.ppm,186,458,232,504,1,1360,800
00379.ppm,1064,488,1112,536,1,1360,800
00379.ppm,185,503,232,550,1,1360,800
00379.ppm,1062,442,1109,489,1,1360,800
00380.ppm,551,559,575,583,1,1360,800
00380.ppm,953,564,976,587,1,1360,800
00380.ppm,952,540,975,563,1,1360,800
00380.ppm,551,535,575,559,1,1360,800
00382.ppm,445,490,485,530,1,1360,800
00382.ppm,446,529,485,568,1,1360,800
00382.ppm,1209,496,1248,535,1,1360,800
00382.ppm,1211,533,1250,572,1,1360,800
00383.ppm,527,546,561,575,1,1360,800
00383.ppm,988,542,1021,571,1,1360,800
00384.ppm,1199,416,1263,480,1,1360,800
00384.ppm,1202,479,1267,544,1,1360,800
00385.ppm,977,529,1016,568,1,1360,800
00385.ppm,267,531,307,571,1,1360,800
00386.ppm,555,561,580,586,1,1360,800
00386.ppm,977,550,1000,573,1,1360,800
00387.ppm,411,499,477,563,1,1360,800
00387.ppm,1185,484,1251,547,1,1360,800
00388.ppm,1274,497,1346,561,1,1360,800
00390.ppm,455,502,503,550,1,1360,800
00390.ppm,1219,494,1265,541,1,1360,800
00391.ppm,1260,502,1304,551,6,1360,800
00391.ppm,198,508,247,558,6,1360,800
00392.ppm,358,443,423,512,1,1360,800
00393.ppm,278,484,373,571,1,1360,800
00395.ppm,201,519,241,561,6,1360,800
00395.ppm,903,519,938,555,6,1360,800
00396.ppm,192,484,238,531,1,1360,800
00396.ppm,998,468,1046,516,1,1360,800
00397.ppm,949,559,983,593,1,1360,800
00397.ppm,947,524,982,559,1,1360,800
00398.ppm,769,517,796,540,1,1360,800
00398.ppm,771,538,795,560,1,1360,800
00398.ppm,772,558,796,582,1,1360,800
00400.ppm,1236,480,1290,528,1,1360,800
00401.ppm,420,496,461,537,1,1360,800
00401.ppm,1122,497,1163,538,1,1360,800
00403.ppm,568,540,592,564,1,1360,800
00403.ppm,939,532,965,559,1,1360,800
00404.ppm,335,415,396,476,1,1360,800
00404.ppm,1255,415,1312,472,1,1360,800
00405.ppm,1255,470,1309,525,1,1360,800
00405.ppm,355,444,411,499,1,1360,800
00406.ppm,520,554,551,581,1,1360,800
00406.ppm,852,544,879,570,1,1360,800
00406.ppm,1046,503,1097,551,1,1360,800
00406.ppm,284,514,333,559,1,1360,800
00408.ppm,128,463,212,539,1,1360,800
00408.ppm,1132,479,1210,549,1,1360,800
00411.ppm,110,557,139,588,1,1360,800
00411.ppm,496,552,529,587,1,1360,800
00412.ppm,1002,499,1047,545,1,1360,800
00413.ppm,1038,480,1084,529,1,1360,800
00414.ppm,1032,421,1078,468,1,1360,800
00415.ppm,827,549,849,571,1,1360,800
00416.ppm,813,505,851,543,1,1360,800
00417.ppm,29,448,129,539,1,1360,800
00418.ppm,455,537,488,566,1,1360,800
00418.ppm,460,563,482,585,1,1360,800
00419.ppm,979,489,1025,537,1,1360,800
00420.ppm,828,542,851,565,1,1360,800
00420.ppm,361,548,383,570,1,1360,800
00421.ppm,946,554,976,581,1,1360,800
00422.ppm,599,567,624,591,1,1360,800
00423.ppm,365,469,451,547,1,1360,800
00423.ppm,1151,445,1245,533,1,1360,800
00425.ppm,302,503,342,543,1,1360,800
00425.ppm,900,500,941,541,1,1360,800
00425.ppm,302,543,342,583,1,1360,800
00425.ppm,903,541,944,582,1,1360,800
00426.ppm,1077,391,1197,502,1,1360,800
00427.ppm,294,383,388,479,1,1360,800
00428.ppm,325,548,353,576,1,1360,800
00428.ppm,937,543,966,572,1,1360,800
00430.ppm,929,414,1008,488,1,1360,800
00431.ppm,275,527,314,564,1,1360,800
00431.ppm,1141,496,1179,536,1,1360,800
00432.ppm,237,560,263,586,1,1360,800
00432.ppm,942,512,970,540,1,1360,800
00433.ppm,510,529,566,583,1,1360,800
00434.ppm,167,194,257,286,1,1360,800
00435.ppm,834,535,862,564,1,1360,800
00436.ppm,794,531,816,553,1,1360,800
00439.ppm,1194,504,1251,564,1,1360,800
00440.ppm,1243,492,1324,562,1,1360,800
00441.ppm,1063,531,1112,580,1,1360,800
00443.ppm,817,550,847,578,1,1360,800
00443.ppm,823,579,843,598,1,1360,800
00443.ppm,470,551,502,578,1,1360,800
00443.ppm,477,578,497,596,1,1360,800
00444.ppm,379,528,427,573,1,1360,800
00444.ppm,964,531,1009,573,1,1360,800
00444.ppm,389,569,419,600,1,1360,800
00444.ppm,972,572,1001,601,1,1360,800
00445.ppm,1021,498,1066,544,1,1360,800
00445.ppm,213,519,254,561,1,1360,800
00446.ppm,401,507,441,544,1,1360,800
00446.ppm,767,497,803,530,1,1360,800
00447.ppm,1182,418,1268,495,1,1360,800
00449.ppm,212,468,254,507,1,1360,800
00449.ppm,812,448,853,486,1,1360,800
00450.ppm,1104,359,1181,429,1,1360,800
00451.ppm,790,558,819,585,1,1360,800
00452.ppm,876,543,914,578,1,1360,800
00453.ppm,1215,332,1302,407,1,1360,800
00453.ppm,895,497,922,524,1,1360,800
00453.ppm,224,407,279,457,1,1360,800
00455.ppm,1094,362,1184,442,1,1360,800
00456.ppm,421,414,476,470,1,1360,800
00457.ppm,1243,418,1301,475,1,1360,800
00457.ppm,517,466,554,504,1,1360,800
00459.ppm,877,515,912,548,1,1360,800
00459.ppm,884,548,909,573,1,1360,800
00465.ppm,1241,315,1331,395,1,1360,800
00466.ppm,1215,399,1267,443,1,1360,800
00466.ppm,514,468,548,497,1,1360,800
00467.ppm,1132,501,1168,537,1,1360,800
00468.ppm,1128,506,1165,544,1,1360,800
00470.ppm,823,489,847,513,1,1360,800
00470.ppm,904,514,938,549,1,1360,800
00473.ppm,507,532,540,565,1,1360,800
00473.ppm,1152,506,1184,538,1,1360,800
00474.ppm,1242,549,1274,581,1,1360,800
00474.ppm,514,569,545,600,1,1360,800
00475.ppm,1233,468,1310,543,1,1360,800
00476.ppm,163,518,199,555,1,1360,800
00476.ppm,1152,523,1187,558,1,1360,800
00477.ppm,298,506,338,546,1,1360,800
00478.ppm,921,470,963,512,1,1360,800
00478.ppm,218,483,258,523,1,1360,800
00479.ppm,982,498,1025,539,1,1360,800
00480.ppm,1055,444,1103,492,1,1360,800
00481.ppm,908,502,944,535,1,1360,800
00482.ppm,260,528,296,570,1,1360,800
00482.ppm,283,564,303,590,1,1360,800
00482.ppm,1055,566,1071,587,1,1360,800
00483.ppm,150,510,203,563,1,1360,800
00483.ppm,1182,531,1232,583,1,1360,800
00484.ppm,339,509,372,542,1,1360,800
00484.ppm,1002,529,1035,563,1,1360,800
00485.ppm,203,377,278,454,1,1360,800
00486.ppm,410,519,465,574,1,1360,800
00490.ppm,842,516,870,539,1,1360,800
00492.ppm,893,528,923,557,1,1360,800
00493.ppm,910,450,966,501,1,1360,800
00494.ppm,1113,300,1211,395,1,1360,800
00496.ppm,511,494,552,536,1,1360,800
00496.ppm,509,535,550,576,1,1360,800
00498.ppm,248,482,292,526,1,1360,800
00499.ppm,1009,497,1056,539,1,1360,800
00500.ppm,952,499,1000,546,1,1360,800
00501.ppm,943,557,962,577,1,1360,800
00501.ppm,610,558,628,577,1,1360,800
00501.ppm,120,282,227,386,1,1360,800
00502.ppm,57,556,85,584,1,1360,800
00502.ppm,579,555,606,582,1,1360,800
00507.ppm,878,473,933,524,1,1360,800
00508.ppm,865,495,908,534,1,1360,800
00509.ppm,833,487,877,527,1,1360,800
00512.ppm,230,486,270,522,1,1360,800
